Assemblies                                         site_D1_DNA.final.contigs
Blastopirellula_marina                             -                        
Chromatocurvus_halotolerans                        5                        
Dasania_marina_DSM_21967                           4                        
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -                        
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  5                        
Formosa_algae                                      18                       
Ilumatobacter_fluminis                             2                        
Ilumatobacter_nonamiensis_YM16-303                 2                        
Ochrobactrum_grignonense                           -                        
Planctomyces_maris_DSM_8797                        2                        
Rhodobacteraceae_bacterium_HIMB11                  12                       
Shewanella_amazonensis_SB2B                        -                        
Shewanella_woodyi_ATCC_51908                       -                        
Synechococcus_sp._WH_7803                          21                       
Syntrophus_aciditrophicus                          1                        
Vibrio_sinaloensis                                 4                        
endosymbiont_of_Ridgeia_piscesae                   3                        
gamma_proteobacterium_SCGC_AB-629-P17              14                       
marine_gamma_proteobacterium_HTCC2080              15                       
not_aligned                                        85246                    
