Sample	no_feature	ambiguous	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
bin_11_D3_read_count	942	11	331	698634	0	482	700400	0.06881781838949172
bin_12_D3_read_count	1066	191	294	697045	0	1799	700395	0.2568550603587975
bin_14_D3_read_count	180	71	141	699043	0	959	700394	0.13692293194973115
bin_15_D3_read_count	1513	106	491	697337	0	948	700395	0.13535219411903282
bin_17_D3_read_count	28	16	60	700096	0	194	700394	0.02769869530578503
bin_18_D3_read_count	61	7	34	700058	0	238	700398	0.03398067955648074
bin_19_D3_read_count	3258	272	2112	691495	0	3269	700406	0.4667292970077355
bin_1_D3_read_count	298	67	96	698878	0	1056	700395	0.1507720643351252
bin_20_D3_read_count	104	9	67	699989	0	225	700394	0.03212477548351357
bin_24_D3_read_count	591	244	488	696227	0	2845	700395	0.40619935893317344
bin_25_D3_read_count	479	226	149	696508	0	3035	700397	0.4333256710122973
bin_26_D3_read_count	817	441	336	696040	0	2763	700397	0.3944905532148196
bin_2_D3_read_count	1099	440	338	693145	0	5407	700429	0.7719554730029738
bin_4_D3_read_count	205	208	119	697149	0	2714	700395	0.3874956274673577
bin_6_D3_read_count	404	19	264	699403	0	304	700394	0.043404141097724995
bin_8_D3_read_count	88	20	39	699952	0	295	700394	0.04211915007838445
