#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
k105_26195_7         -             94 Ribosom_S12_S23      PF00164.20   122   2.5e-47  155.1   0.6   1   1   3.5e-50   2.7e-47  155.0   0.6    30   121     1    92     1    93 0.99 # 5433 # 5714 # -1 # ID=28_7;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.528
k105_26195_6         -            157 Ribosomal_S7         PF00177.16   148   4.8e-61  200.5   0.5   1   1     7e-64   5.3e-61  200.3   0.5     1   148     1   149     1   149 1.00 # 4961 # 5431 # -1 # ID=28_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.554
k105_26195_2         -            224 Ribosomal_L3         PF00297.17   263   1.8e-46  154.4   3.7   1   1   9.9e-48   7.6e-45  149.1   3.7     1   263    21   217    21   217 0.98 # 309 # 980 # -1 # ID=28_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.552
k105_57941_3         -            131 Ribosomal_S9         PF00380.14   121   4.1e-46  151.9   0.3   1   1   6.1e-49   4.6e-46  151.8   0.3     1   121    10   130    10   130 1.00 # 1029 # 1421 # 1 # ID=61_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
k105_131260_2        -           1201 RNA_pol_Rpb2_6       PF00562.23   386  7.2e-157  517.8   0.0   1   1  8.8e-159  6.7e-156  514.6   0.0     2   386   595  1079   594  1079 0.95 # 937 # 4539 # -1 # ID=129_2;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522
k105_57941_2         -            150 Ribosomal_L13        PF00572.13   128   9.1e-55  179.9   0.0   1   1   1.4e-57     1e-54  179.8   0.0     1   125    15   139    15   142 0.99 # 566 # 1015 # 1 # ID=61_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.522
k105_26195_1         -            103 Ribosomal_L4         PF00573.17   192   2.8e-34  113.9   1.5   1   1   4.1e-37   3.2e-34  113.8   1.5     1    87    18   103    18   103 0.98 # 1 # 309 # -1 # ID=28_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.563
k105_73641_4         -            497 SRP_SPB              PF02978.14   104   8.5e-35  115.0   0.4   1   1   3.6e-37   2.7e-34  113.3   0.4     1   104   341   438   341   438 0.96 # 1195 # 2685 # -1 # ID=79_4;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.520
k105_131260_2        -           1201 RNA_pol_Rpb2_7       PF04560.15    82     6e-31  102.4   0.0   1   1   1.8e-33   1.4e-30  101.2   0.0     1    80  1081  1155  1081  1156 0.98 # 937 # 4539 # -1 # ID=129_2;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522
k105_131260_2        -           1201 RNA_pol_Rpb2_2       PF04561.9    190     1e-19   66.4   0.0   1   1   4.7e-21   3.6e-18   61.4   0.0     2   190   141   364   140   364 0.77 # 937 # 4539 # -1 # ID=129_2;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522
k105_131260_2        -           1201 RNA_pol_Rpb2_1       PF04563.10   203   5.3e-35  115.9   0.0   1   1   1.3e-37   9.8e-35  115.1   0.0     1   203    23   419    23   419 0.98 # 937 # 4539 # -1 # ID=129_2;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522
k105_131260_2        -           1201 RNA_pol_Rpb2_3       PF04565.11    68   5.8e-28   92.3   0.0   1   1   1.6e-30   1.2e-27   91.3   0.0     1    68   423   492   423   492 0.99 # 937 # 4539 # -1 # ID=129_2;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.522
k105_131260_1        -            296 RNA_pol_Rpb1_1       PF04997.7    337   1.5e-34  115.5   0.0   1   1   2.5e-37   1.9e-34  115.1   0.0     2   189     5   223     4   252 0.67 # 3 # 890 # -1 # ID=129_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500
k105_63656_3         -            535 TIGR00422            TIGR00422    863    0.0037   10.7   0.0   1   2    0.0096       7.3   -0.2   0.0    43    87   128   172   122   201 0.90 # 2304 # 3908 # 1 # ID=71_3;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528
k105_63656_3         -            535 TIGR00422            TIGR00422    863    0.0037   10.7   0.0   2   2   2.7e-05     0.021    8.2   0.0   517   566   348   398   334   423 0.83 # 2304 # 3908 # 1 # ID=71_3;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.528
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /scratch/13847570/e23270fb-2512-40d9-9572-4005c0373782
# Target file:     /home/karsva/Genome_Analysis/analyses/06_bin_evaluation/site_D1/bins/site_D1_bins_4/genes.faa
# Option settings: hmmsearch --domtblout /home/karsva/Genome_Analysis/analyses/06_bin_evaluation/site_D1/bins/site_D1_bins_4/hmmer.tree.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 1 /scratch/13847570/e23270fb-2512-40d9-9572-4005c0373782 /home/karsva/Genome_Analysis/analyses/06_bin_evaluation/site_D1/bins/site_D1_bins_4/genes.faa 
# Current dir:     /domus/h1/karsva/Genome_Analysis/code
# Date:            Wed Apr 22 14:23:30 2020
# [ok]
