Assemblies	site_D1_DNA.final.contigs
Blastopirellula_marina	-
Chromatocurvus_halotolerans	533
Dasania_marina_DSM_21967	333
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790	509
Formosa_algae	2031
Ilumatobacter_fluminis	167
Ilumatobacter_nonamiensis_YM16-303	169
Ochrobactrum_grignonense	-
Planctomyces_maris_DSM_8797	621
Rhodobacteraceae_bacterium_HIMB11	3334
Shewanella_amazonensis_SB2B	-
Shewanella_woodyi_ATCC_51908	-
Synechococcus_sp._WH_7803	10194
Syntrophus_aciditrophicus	86
Vibrio_sinaloensis	2099
endosymbiont_of_Ridgeia_piscesae	509
gamma_proteobacterium_SCGC_AB-629-P17	8278
marine_gamma_proteobacterium_HTCC2080	4171
