Assemblies                                         site_D1_DNA.final.contigs
Blastopirellula_marina                             -                        
Chromatocurvus_halotolerans                        2.442                    
Dasania_marina_DSM_21967                           1.311                    
Dehalogenimonas_lykanthroporepellens_BL-DC-9       -                        
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790  4.540                    
Formosa_algae                                      3.545                    
Ilumatobacter_fluminis                             1.000                    
Ilumatobacter_nonamiensis_YM16-303                 1.000                    
Ochrobactrum_grignonense                           -                        
Planctomyces_maris_DSM_8797                        1.031                    
Rhodobacteraceae_bacterium_HIMB11                  2.260                    
Shewanella_amazonensis_SB2B                        -                        
Shewanella_woodyi_ATCC_51908                       -                        
Synechococcus_sp._WH_7803                          1.533                    
Syntrophus_aciditrophicus                          1.000                    
Vibrio_sinaloensis                                 1.119                    
endosymbiont_of_Ridgeia_piscesae                   5.803                    
gamma_proteobacterium_SCGC_AB-629-P17              1.247                    
marine_gamma_proteobacterium_HTCC2080              1.856                    
