Assemblies	site_D1_DNA.final.contigs
Blastopirellula_marina	-
Chromatocurvus_halotolerans	6490
Dasania_marina_DSM_21967	6120
Dehalogenimonas_lykanthroporepellens_BL-DC-9	-
Flavobacterium_subsaxonicum_WB_4.1-42___DSM_21790	3027
Formosa_algae	13432
Ilumatobacter_fluminis	5034
Ilumatobacter_nonamiensis_YM16-303	1601
Ochrobactrum_grignonense	-
Planctomyces_maris_DSM_8797	2945
Rhodobacteraceae_bacterium_HIMB11	5313
Shewanella_amazonensis_SB2B	-
Shewanella_woodyi_ATCC_51908	-
Synechococcus_sp._WH_7803	11025
Syntrophus_aciditrophicus	2713
Vibrio_sinaloensis	3052
endosymbiont_of_Ridgeia_piscesae	0
gamma_proteobacterium_SCGC_AB-629-P17	8733
marine_gamma_proteobacterium_HTCC2080	11580
